Stiffness (N/m),Damping (N.s/m)
1.12000000E+08,1.12000000E+06 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
9.80000000E+07,9.80000000E+05 
1.12000000E+08,1.12000000E+06 
